"","label","Order","predator_Marchant","detritivore_Marchant","grazer_Marchant","shredder_Marchant","filterer_Marchant","Trop1_botwe","Trop2_botwe","Trop3_botwe","Trop4_botwe","Trop5_botwe","C_Maxwell","P_Maxwell","SH_Maxwell","C_SH_Maxwell","SC_Maxwell","PA_Maxwell","C_SC_Maxwell","F_Maxwell","Shredder_proportion_of_feeding_genus_Chessman2017","Scraper_proportion_of_feeding_genus_Chessman2017","Predator_proportion_of_feeding_genus_Chessman2017","Gatherer_proportion_of_feeding_genus_Chessman2017","Filterer_proportion_of_feeding_genus_Chessman2017"
"73","Lancetes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"74","Lancetes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"75","Lancetes","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Lancetes","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0
"77","Cybister","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Cybister","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"79","Cybister","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"80","Laccophilus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Laccophilus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"82","Australphilus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Australphilus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Australphilus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"85","Copelatus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"86","Exocelina","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"87","Exocelina","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Exocelina","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"89","Platynectes","Coleoptera",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"90","Platynectes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"91","Platynectes","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"92","Platynectes","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"93","Rhantus","Coleoptera",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Rhantus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"95","Eretes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"96","Eretes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Eretes","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"98","Hyderodes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Hyderodes","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Hyderodes","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"101","Hygrobia","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Hygrobia","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
"103","Hydrochus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA
"104","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Hydrochus","Coleoptera",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0
"116","Anacaena","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"117","Anacaena","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"118","Anacaena","Coleoptera",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"119","Anacaena","Coleoptera",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"120","Crenitis","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"121","Helochares","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Helochares","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Helochares","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Helochares","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"125","Coelostoma","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"127","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"128","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"129","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Enochrus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"133","Enochrus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"134","Paracymus","Coleoptera",1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Paracymus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"136","Paracymus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"137","Hydrophilus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Hydrophilus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Sternolophus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Sternolophus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"141","Hydrobiomorpha","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"142","Limnoxenus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"143","Limnoxenus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"144","Limnoxenus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"145","Limnoxenus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"146","Laccobius","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"147","Laccobius","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Laccobius","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Laccobius","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"150","Laccobius","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"151","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"153","Berosus","Coleoptera",1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Berosus","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"155","Berosus","Coleoptera",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"158","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"159","Berosus","Coleoptera",1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"161","Berosus","Coleoptera",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
