Amphipoda,Ingolfiellidae,Stygobarnardia,caprellinoides,Stygobarnardia caprellinoides,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Widespread,,,,,,,,,,,,,,,,9,
Amphipoda,Ingolfiellidae,Stygobarnardia,,Stygobarnardia,Genus,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,10,
Amphipoda,Ingolfiellidae,,,Ingolfiellidae,Family,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,11,
Amphipoda,Paramelitidae,Aquadulcaris,andronyx,Aquadulcaris andronyx,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,12,
Amphipoda,Paramelitidae,Aquadulcaris,auricularia,Aquadulcaris auricularia,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,13,
Amphipoda,Paramelitidae,Aquadulcaris,crassicornis,Aquadulcaris crassicornis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,14,
Amphipoda,Paramelitidae,Aquadulcaris,dentata,Aquadulcaris dentata,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,15,
Amphipoda,Paramelitidae,Aquadulcaris,marunguis,Aquadulcaris marunguis,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,16,
Amphipoda,Paramelitidae,Aquadulcaris,pheronyx,Aquadulcaris pheronyx,Species,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Sensitivity weighting = 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,Regional endemic,,,,,,,,,,,,,,,,17,
Amphipoda,Paramelitidae,Aquadulcaris,,Aquadulcaris,Genus,Small (5–10),,Small to medium sized (Griffiths et al. 2015). ,Others - specify,"Slender, shrimp-like crustaceans with dorso-laterally compressed/flattened bodies and no carapace (Griffiths and Stewart 2001). ",,,Crawler,Griffiths and Stewart 2001.,Free living,Griffiths and Stewart 2001,Gills,Bladder-like gills originate from the inner surface of the coxae of some or all the pereopods (Griffiths and Stewart 2001).,Shredder (Feeding mode:  feeds by fragmenting leaves and large pieces of plant material,Griffiths and Stewart 2001,,,Very slow flowing/still (< 0.1),Hamrsky 2013,Shallow (≤ 0.5),Hamrsky 2013,Riffles,Vegetated streams (Barnard 1927),Highly sensitive (12–15),Scored 13,Aquatic active,Griffiths et al. 2015,,,,,,,,,,,,,,,,,,,All (egg to adult),,,,,,,,,,No,,,,,,,Hard cover of chiton (Hamrsky 2013).,,,,,,,,,,,,,,,,,,,,,18,
